epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1771,1.81575,3.79026,1.28068,0.00491,0.65565,0.12973,0.09403,1.0564,3.84349,0.87997,8.574e-05,8.574e-05,8.574e-05
2,23.9314,1.34657,2.91363,1.01943,0.00808,0.63842,0.35754,0.20349,1.17166,3.772,0.8928,0.000183931,0.000183931,0.000183931
3,26.7292,1.34532,1.88127,1.01347,0.00558,0.5914,0.43192,0.21847,1.6302,3.71341,1.03562,0.000280141,0.000280141,0.000280141
4,29.4931,1.32774,1.59504,1.03391,0.00901,0.6129,0.50271,0.16204,1.62025,3.74579,1.05871,0.000374371,0.000374371,0.000374371
5,32.249,1.21734,1.4246,1.01839,0.00436,0.59541,0.48671,0.19019,1.32791,3.68099,0.99654,0.00046662,0.00046662,0.00046662
6,35.0043,1.21,1.35595,1.03247,0.00503,0.66382,0.26275,0.1018,1.26022,3.63694,0.98045,0.000556888,0.000556888,0.000556888
7,37.7571,1.20134,1.26456,1.03738,0.00419,0.5914,0.09073,0.04476,1.48436,3.5643,1.06204,0.000645176,0.000645176,0.000645176
8,40.5584,1.1745,1.22619,1.02979,0.00542,0.68662,0.57189,0.38024,1.3507,3.25179,0.99699,0.000731484,0.000731484,0.000731484
9,43.2904,1.21394,1.18673,1.017,0.0066,0.7523,0.6419,0.43894,1.21024,3.12542,0.96761,0.00081581,0.00081581,0.00081581
10,46.0271,1.16378,1.1791,1.02046,0.0053,0.68403,0.64141,0.47084,1.03277,2.95637,0.9169,0.000898157,0.000898157,0.000898157
11,48.748,1.15181,1.13422,0.99894,0.97237,0.55684,0.65778,0.46631,1.10337,2.71389,0.92812,0.000978522,0.000978522,0.000978522
12,51.4759,1.16159,1.0918,1.01941,1,0.35125,0.80073,0.54422,1.13081,2.63949,0.9263,0.00105691,0.00105691,0.00105691
